"","Cruise","depth","sal","temp","dissolvedO","dO_percent","id"
"1","RP1",0.4,0.0062,24.5257,3.841,65.852,"GOMECC-1/SEAMAP-B221"
"2","RP1",0.6,0.0075,24.2502,3.8653,65.929,"GOMECC-1/SEAMAP-B221"
"3","RP1",0.8,0.0128,24.4213,3.877,66.342,"GOMECC-1/SEAMAP-B221"
"4","RP1",1,0.0121,26.0324,3.7121,65.451,"GOMECC-1/SEAMAP-B221"
"5","RP1",1.4,18.4612,23.4808,4.9651,92.431,"GOMECC-1/SEAMAP-B221"
"6","RP1",1.6,38.7628,22.9766,4.1034,85.777,"GOMECC-1/SEAMAP-B221"
"7","RP1",1.8,32.8326,23.0573,4.6993,94.72,"GOMECC-1/SEAMAP-B221"
"8","RP1",2,32.8335,23.0565,4.6613,93.953,"GOMECC-1/SEAMAP-B221"
"9","RP1",2.2,32.8734,23.0724,4.6813,94.406,"GOMECC-1/SEAMAP-B221"
"10","RP1",2.4,32.8656,23.0728,4.6756,94.286,"GOMECC-1/SEAMAP-B221"
"11","RP1",2.6,32.8669,23.0732,4.635,93.469,"GOMECC-1/SEAMAP-B221"
"12","RP1",2.8,32.8688,23.0728,4.6846,94.469,"GOMECC-1/SEAMAP-B221"
"13","RP1",3,32.8645,23.0712,4.7001,94.776,"GOMECC-1/SEAMAP-B221"
"14","RP1",3.2,32.8673,23.0692,4.6743,94.256,"GOMECC-1/SEAMAP-B221"
"15","RP1",3.4,32.8653,23.0699,4.6838,94.446,"GOMECC-1/SEAMAP-B221"
"16","RP1",3.6,32.8667,23.069,4.6738,94.244,"GOMECC-1/SEAMAP-B221"
"17","RP1",3.8,32.8651,23.0713,4.6579,93.927,"GOMECC-1/SEAMAP-B221"
"18","RP1",4,32.8732,23.0821,4.6821,94.436,"GOMECC-1/SEAMAP-B221"
"19","RP1",4.2,32.8737,23.0886,4.658,93.961,"GOMECC-1/SEAMAP-B221"
"20","RP1",4.4,32.8819,23.0972,4.6842,94.51,"GOMECC-1/SEAMAP-B221"
"21","RP1",4.6,32.8711,23.0783,4.6764,94.314,"GOMECC-1/SEAMAP-B221"
"22","RP1",4.8,32.8688,23.0722,4.6804,94.383,"GOMECC-1/SEAMAP-B221"
"23","RP1",5,32.8691,23.0723,4.6776,94.328,"GOMECC-1/SEAMAP-B221"
"24","RP1",5.2,32.8729,23.0771,4.6842,94.471,"GOMECC-1/SEAMAP-B221"
"25","RP1",5.4,32.8716,23.0787,4.6834,94.455,"GOMECC-1/SEAMAP-B221"
"26","RP1",5.6,32.8723,23.0764,4.6861,94.507,"GOMECC-1/SEAMAP-B221"
"27","RP1",5.8,32.8735,23.0782,4.6877,94.544,"GOMECC-1/SEAMAP-B221"
"28","RP1",6,32.8736,23.075,4.6727,94.235,"GOMECC-1/SEAMAP-B221"
"29","RP1",6.2,32.8748,23.0768,4.6777,94.339,"GOMECC-1/SEAMAP-B221"
