.id,x,pressure,depth,temperature,temp2,sal1,sal2,density1,density2,o1,o2,o3,o4,cdom,fluor1,atten,trans,par,spar,lat,lon,y0,y00,stnname,transect
stnx.1,NA,3.02,3,23.0578,23.0654,32.5956,32.7155,22.0949,22.1835,5.2124,104.923,3.7761,76.069,1.333,22.104,0.5689,86.7328,9999,773.04,28.99972,-95.0005,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,3.222,3.2,22.9367,23.0137,32.0753,32.0379,21.7353,21.6851,5.3399,106.932,3.6252,72.675,1.0687,22.2615,0.4236,89.9446,9999,783.37,28.9998,-95.00043,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,3.423,3.4,23.0915,23.073,32.9809,33.0061,22.3771,22.4015,5.0906,102.762,4.3931,88.647,1.0471,25.017,0.4343,89.711,9999,795.13,28.99991,-95.00034,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,3.624,3.6,23.0839,23.0817,32.8665,32.8637,22.2926,22.2912,4.775,96.311,4.8696,98.211,0.9552,24.1544,0.4425,89.5275,9999,556.18,29.00034,-95.00006,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,3.826,3.8,23.0794,23.0827,32.8621,32.8604,22.2906,22.2884,4.7941,96.685,4.8438,97.691,1.1317,24.2088,0.4341,89.7166,9999,743.1,29.00035,-95.00006,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,4.027,4,23.0799,23.0764,32.8623,32.8589,22.2906,22.2891,4.7878,96.56,4.8233,97.266,1.1206,24.333,0.4368,89.6555,9999,728.15,29.00036,-95.00004,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,4.229,4.2,23.079,23.0795,32.862,32.8599,22.2907,22.289,4.7789,96.379,4.824,97.287,1.1042,24.6095,0.43,89.8071,9999,619.2,29.00036,-95.00004,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,4.43,4.4,23.0752,23.0752,32.8605,32.8592,22.2906,22.2896,4.7933,96.661,4.8429,97.66,0.985,24.5882,0.4243,89.9359,9999,701.85,29.00036,-95.00004,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,4.631,4.6,23.0745,23.0742,32.8588,32.8571,22.2896,22.2883,4.7537,95.859,4.8468,97.736,0.8342,24.0532,0.4167,90.107,9999,684.45,29.00036,-95.00004,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,4.832,4.8,23.0737,23.0729,32.8594,32.857,22.2903,22.2887,4.7593,95.972,4.8442,97.681,1.0152,24.0879,0.4212,90.0055,9999,483.14,29.00038,-95.00004,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,5.034,5,23.0739,23.0731,32.8592,32.8575,22.2901,22.289,4.7443,95.671,4.8299,97.393,1.0051,24.0707,0.4244,89.9344,9999,557.64,29.00038,-95.00004,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,5.235,5.2,23.071,23.0713,32.8592,32.8572,22.2909,22.2893,4.7359,95.495,4.8424,97.643,0.9907,24.3374,0.4477,89.4131,9999,778.44,29.00038,-95.00002,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,5.437,5.4,23.0718,23.0699,32.8597,32.8566,22.291,22.2893,4.7521,95.824,4.8534,97.86,0.9947,24.3334,0.432,89.7639,9999,416.29,29.00038,-95.00002,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,5.638,5.6,23.0684,23.0693,32.8585,32.8565,22.2911,22.2894,4.7375,95.524,4.853,97.853,1.0226,24.3114,0.4304,89.7985,9999,740.95,29.0004,-95.00002,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,5.839,5.8,23.0712,23.0701,32.8571,32.8552,22.2893,22.2881,4.7494,95.767,4.856,97.913,1.1217,24.2051,0.439,89.6073,9999,688.22,29.0004,-95.00002,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,6.041,6,23.0741,23.0735,32.8564,32.8551,22.2879,22.2871,4.7597,95.979,4.8491,97.781,0.9813,24.1313,0.4343,89.7106,9999,381.96,29.0004,-95.00002,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,6.242,6.2,23.0787,23.0784,32.8614,32.8592,22.2904,22.2889,4.724,95.27,4.8476,97.761,1.0036,24.1071,0.4333,89.7332,9999,827.59,29.00043,-95,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,6.444,6.4,23.0827,23.0817,32.8632,32.8607,22.2907,22.2891,4.7317,95.432,4.8529,97.875,1.1316,24.136,0.4233,89.9576,9999,688.96,29.00044,-95,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,6.645,6.6,23.0893,23.0833,32.8671,32.8622,22.2917,22.2897,4.7296,95.402,4.8436,97.689,1.283,24.1584,0.4321,89.7606,9999,362.06,29.00044,-95,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,6.846,6.8,23.099,23.0964,32.8672,32.865,22.289,22.2881,4.7554,95.941,4.8443,97.728,0.9345,24.2421,0.4327,89.7478,9999,695.84,29.00046,-94.99998,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,7.048,7,23.0993,23.1015,32.8686,32.8628,22.29,22.285,4.7604,96.043,4.8347,97.541,0.998,24.101,0.4305,89.7963,9999,628.78,29.00046,-94.99998,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,7.249,7.2,23.098,23.0988,32.868,32.8672,22.29,22.2891,4.7534,95.899,4.8299,97.444,0.9365,24.1851,0.4368,89.6555,9999,770.46,29.00046,-94.99998,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,7.45,7.4,23.1125,23.1055,32.8771,32.8704,22.2928,22.2897,4.7428,95.715,4.8306,97.47,1.0345,24.3227,0.4525,89.3065,9999,615.59,29.00048,-94.99998,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,7.652,7.6,23.1323,23.1267,32.8875,32.8819,22.2949,22.2923,4.737,95.637,4.8322,97.545,1.0958,24.4013,0.4388,89.6099,9999,441.82,29.0005,-94.99996,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,7.853,7.8,23.1335,23.1325,32.8868,32.8844,22.2941,22.2925,4.735,95.599,4.834,97.592,0.8785,24.2792,0.4429,89.5191,9999,466.5,29.0005,-94.99996,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,8.054,8,23.1172,23.1202,32.8765,32.879,22.2909,22.292,4.7384,95.632,4.8154,97.193,0.9783,24.3393,0.4463,89.4428,9999,307.81,29.0005,-94.99996,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,8.256,8.2,23.1138,23.1054,32.8812,32.871,22.2955,22.2902,4.7512,95.889,4.8246,97.349,0.9873,24.3541,0.4506,89.3473,9999,276.65,29.00051,-94.99995,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,8.457,8.4,23.1183,23.1172,32.863,32.8774,22.2804,22.2916,4.7597,96.058,4.8348,97.58,0.9812,24.3341,0.4433,89.5087,9999,324.33,29.00052,-94.99994,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,8.658,8.6,23.1285,23.126,32.8893,32.8829,22.2974,22.2933,4.7632,96.16,4.829,97.479,0.9237,24.1934,0.4682,88.9548,9742.8,596.09,29.00053,-94.99994,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,8.86,8.8,23.1396,23.1333,32.8947,32.8878,22.2984,22.2949,4.7316,95.544,4.8129,97.17,1.0001,24.1716,0.4625,89.0805,10001,320.53,29.00054,-94.99994,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,9.061,9,23.1555,23.1539,32.9026,32.8992,22.2998,22.2977,4.711,95.159,4.8061,97.076,0.977,24.4998,0.4594,89.1505,9386.6,526.7,29.00054,-94.99994,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,9.263,9.2,23.1448,23.1519,32.8971,32.9005,22.2987,22.2993,4.7033,94.983,4.7855,96.657,1.1462,24.5252,0.4665,88.9914,9513.9,454.87,29.00056,-94.99993,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,9.464,9.4,23.1702,23.1568,32.9126,32.9018,22.3032,22.2989,4.6961,94.887,4.8096,97.152,1.1458,24.2425,0.4708,88.8959,8771.7,681.56,29.00056,-94.99992,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,9.665,9.6,23.1651,23.1675,32.9085,32.9075,22.3016,22.3001,4.7114,95.186,4.8206,97.395,1.1444,24.2366,0.4651,89.0218,8774.1,780.2,29.00056,-94.99992,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,9.867,9.8,23.16,23.1585,32.908,32.9046,22.3026,22.3005,4.7307,95.567,4.8006,96.975,0.9377,24.2956,0.478,88.7374,8261.2,693.26,29.00056,-94.99992,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,10.068,10,23.1875,23.1749,32.9254,32.9159,22.308,22.3044,4.7172,95.349,4.7923,96.842,0.9879,24.2599,0.4756,88.7901,8650.1,545.46,29.00059,-94.99992,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,10.269,10.2,23.1769,23.1788,32.9153,32.9152,22.3034,22.3028,4.7115,95.211,4.7762,96.523,1.0797,24.254,0.4815,88.6601,7464.4,735.93,29.00058,-94.99992,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,10.471,10.4,23.1835,23.1757,32.9206,32.9137,22.3055,22.3025,4.7007,95.006,4.7912,96.819,1.0083,24.3038,0.4918,88.4318,7890.4,419.53,29.00058,-94.99992,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,10.672,10.6,23.181,23.181,32.9186,32.917,22.3047,22.3035,4.6894,94.773,4.7968,96.943,0.9971,24.1877,0.4821,88.6457,7477.6,663.78,29.0006,-94.9999,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,10.873,10.8,23.1878,23.188,32.922,32.9212,22.3053,22.3047,4.7026,95.054,4.793,96.881,1.0776,24.1752,0.4884,88.5049,7397.3,807.38,29.0006,-94.9999,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,11.075,11,23.1907,23.1909,32.9253,32.9219,22.307,22.3044,4.7089,95.186,4.7886,96.796,1.1353,24.2409,0.5017,88.2113,6594.8,822.22,29.0006,-94.9999,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,11.276,11.2,23.2001,23.1874,32.939,32.9248,22.3147,22.3076,4.6838,94.703,4.7747,96.512,1.0203,24.2464,0.4991,88.2694,7067.3,830.66,29.0006,-94.9999,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,11.477,11.4,23.2651,23.259,32.9756,32.9698,22.3238,22.3211,4.661,94.369,4.7787,96.74,1.0426,24.3063,0.5003,88.2427,6170.6,686.12,29.00062,-94.9999,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,11.679,11.6,23.2687,23.2637,32.9782,32.9744,22.3248,22.3233,4.632,93.789,4.7598,96.367,1.0755,24.405,0.5683,86.7762,6018.1,764.53,29.00062,-94.9999,0,0,GOMECC-1/SEAMAP-B221,tran1
