"","sample_id","stn","taxa","count","lat","lon","std.density","cruise"
"1","rp3201803191956","SEAMAP-B219","Appendicularia",17,29,-94.5,18.0092929957766,"RP1"
"2","rp3201803191956","SEAMAP-B219","Calycophorae",4,29,-94.5,4.23748070488862,"RP1"
"3","rp3201803191956","SEAMAP-B219","Doliolida",16,29,-94.5,16.9499228195545,"RP1"
"4","rp3201803191956","SEAMAP-B219","gelatinous",42,29,-94.5,44.4935474013305,"RP1"
"5","rp3201803191956","SEAMAP-B219","Hydrozoa",4,29,-94.5,4.23748070488862,"RP1"
"6","rp3201803191956","SEAMAP-B219","Salpa",200,29,-94.5,211.874035244431,"RP1"
"7","rp3201803201252","GOMECC-1/SEAMAP-B221","Appendicularia",15,29,-95,18.698578908003,"RP1"
"8","rp3201803201252","GOMECC-1/SEAMAP-B221","Calycophorae",4,29,-95,4.9862877088008,"RP1"
"9","rp3201803201252","GOMECC-1/SEAMAP-B221","Ctenophora<Metazoa",1,29,-95,1.2465719272002,"RP1"
"10","rp3201803201252","GOMECC-1/SEAMAP-B221","Doliolida",18,29,-95,22.4382946896036,"RP1"
"11","rp3201803201252","GOMECC-1/SEAMAP-B221","gelatinous",27,29,-95,33.6574420344054,"RP1"
"12","rp3201803201252","GOMECC-1/SEAMAP-B221","Hydrozoa",7,29,-95,8.7260034904014,"RP1"
"13","rp3201803201252","GOMECC-1/SEAMAP-B221","Salpa",109,29,-95,135.876340064822,"RP1"
"14","rp3201803201755","SEAMAP-B222","Appendicularia",3,28.5,-95,3.81260294027939,"RP1"
"15","rp3201803201755","SEAMAP-B222","Calycophorae",7,28.5,-95,8.89607352731857,"RP1"
"16","rp3201803201755","SEAMAP-B222","Doliolida",2,28.5,-95,2.54173529351959,"RP1"
"17","rp3201803201755","SEAMAP-B222","gelatinous",7,28.5,-95,8.89607352731857,"RP1"
"18","rp3201803201755","SEAMAP-B222","Salpa",4,28.5,-95,5.08347058703918,"RP1"
"19","rp3201803202235","SEAMAP-B218","Appendicularia",6,28.5,-94.5,3.67751512346172,"RP1"
"20","rp3201803202235","SEAMAP-B218","Calycophorae",5,28.5,-94.5,3.0645959362181,"RP1"
"21","rp3201803202235","SEAMAP-B218","Doliolida",7,28.5,-94.5,4.29043431070534,"RP1"
"22","rp3201803202235","SEAMAP-B218","gelatinous",20,28.5,-94.5,12.2583837448724,"RP1"
"23","rp3201803202235","SEAMAP-B218","Salpa",2,28.5,-94.5,1.22583837448724,"RP1"
"24","rp3201803211408","GOMECC-3","Calycophorae",1,27.33,-95,1.40048668032787,"RP1"
"25","rp3201803211408","GOMECC-3","Doliolida",2,27.33,-95,2.80097336065574,"RP1"
"26","rp3201803211408","GOMECC-3","gelatinous",17,27.33,-95,23.8082735655738,"RP1"
"27","rp3201803211408","GOMECC-3","Salpa",2,27.33,-95,2.80097336065574,"RP1"
"28","rp3201803212123","ADPT-2","Doliolida",1,27.32,-94.46,0.345731296851819,"RP1"
"29","rp3201803212123","ADPT-2","gelatinous",14,27.32,-94.46,4.84023815592547,"RP1"
"30","rp3201803212123","ADPT-2","Salpa",1,27.32,-94.46,0.345731296851819,"RP1"
"31","rp3201803221318","ADPT-1","Appendicularia",10,27.58,-93.69,3.07912109567445,"RP1"
"32","rp3201803221318","ADPT-1","Calycophorae",13,27.58,-93.69,4.00285742437679,"RP1"
"33","rp3201803221318","ADPT-1","Doliolida",2,27.58,-93.69,0.61582421913489,"RP1"
"34","rp3201803221318","ADPT-1","gelatinous",17,27.58,-93.69,5.23450586264657,"RP1"
"35","rp3201803221318","ADPT-1","Hydrozoa",2,27.58,-93.69,0.61582421913489,"RP1"
"36","rp3201803222056","SEAMAP-B217","Appendicularia",2,28,-94.5,1.0375855491978,"RP1"
"37","rp3201803222056","SEAMAP-B217","Calycophorae",3,28,-94.5,1.5563783237967,"RP1"
"38","rp3201803222056","SEAMAP-B217","Ctenophora<Metazoa",1,28,-94.5,0.5187927745989,"RP1"
"39","rp3201803222056","SEAMAP-B217","Doliolida",1,28,-94.5,0.5187927745989,"RP1"
"40","rp3201803222056","SEAMAP-B217","gelatinous",38,28,-94.5,19.7141254347582,"RP1"
"41","rp3201803222056","SEAMAP-B217","Hydrozoa",1,28,-94.5,0.5187927745989,"RP1"
"42","rp3201803222056","SEAMAP-B217","Salpa",3,28,-94.5,1.5563783237967,"RP1"
"43","rp3201803231241","GOMECC-2/SEAMAP-B223","Calycophorae",3,28.08,-95,5.24309551208285,"RP1"
"44","rp3201803231241","GOMECC-2/SEAMAP-B223","gelatinous",2,28.08,-95,3.49539700805524,"RP1"
"45","rp3201803231241","GOMECC-2/SEAMAP-B223","Hydrozoa",4,28.08,-95,6.99079401611047,"RP1"
"46","rp3201803231241","GOMECC-2/SEAMAP-B223","Salpa",2,28.08,-95,3.49539700805524,"RP1"
"47","rp2201801081357","SEAMAP-B222","Appendicularia",8,28.5,-95,5.18652468019557,"RP2"
"48","rp2201801081357","SEAMAP-B222","Calycophorae",4,28.5,-95,2.59326234009778,"RP2"
"49","rp2201801081357","SEAMAP-B222","Salpa",1,28.5,-95,0.648315585024446,"RP2"
"50","rp2201801081937","GOMECC-2/SEAMAP-B223","Appendicularia",4,28.08,-95,1.61779575328615,"RP2"
"51","rp2201801081937","GOMECC-2/SEAMAP-B223","Calycophorae",1,28.08,-95,0.404448938321537,"RP2"
"52","rp2201801081937","GOMECC-2/SEAMAP-B223","Doliolida",4,28.08,-95,1.61779575328615,"RP2"
"53","rp2201801081937","GOMECC-2/SEAMAP-B223","Salpa",3,28.08,-95,1.21334681496461,"RP2"
"54","rp2201801091436","GOMECC-3","Appendicularia",3,27.33,-95,28.3357618651124,"RP2"
"55","rp2201801091436","GOMECC-3","Calycophorae",1,27.33,-95,9.44525395503747,"RP2"
